CUST NO.	XCOORD.	YCOORD.	DEMAND	SURVEILLANCE TIME	Delivery_priority	Surveillance_priority	Truck-reachable Node
0	40	50	0	0	0	0	Yes
1	45	68	5	6	1	3	No
2	45	70	15	10	1	3	No
3	42	66	50	0	1	0	Yes
4	42	68	50	0	1	0	Yes
5	42	65	50	0	1	0	Yes
6	40	69	100	0	1	0	Yes
7	40	66	100	0	1	0	Yes
8	38	68	10	0	1	0	Yes
9	38	70	50	0	2	0	Yes
10	35	66	5	8	1	3	No
11	35	69	50	0	1	0	Yes
12	25	85	10	5	1	2	No
13	22	75	150	0	1	0	Yes
14	22	85	5	3	1	3	No
15	20	80	200	0	1	0	Yes
16	20	85	20	5	3	3	No
17	18	75	10	0	1	0	No
18	15	75	100	0	1	0	Yes
19	15	80	5	0	1	0	No
20	30	50	5	0	3	0	No
21	30	52	100	0	1	0	Yes
22	28	52	10	0	1	0	Yes
23	28	55	5	0	2	0	No
24	25	50	5	0	1	0	No
25	25	52	200	0	3	0	Yes
26	25	55	50	0	1	0	Yes
27	23	52	5	4	1	3	No
28	23	55	10	3	2	1	No
29	20	50	50	0	1	0	Yes
30	20	55	50	0	3	0	Yes
