CUST NO.	XCOORD.	YCOORD.	DEMAND	SURVEILLANCE TIME	Delivery_priority	Surveillance_priority	Truck-reachable Node
0	35	35	0	0	0	0	Yes
1	41	49	50	0	1	0	Yes
2	35	17	35	0	1	0	Yes
3	55	45	65	0	3	0	Yes
4	55	20	95	0	1	0	Yes
5	15	30	130	0	3	0	Yes
6	25	30	1.5	3	2	1	No
7	20	50	25	0	3	0	Yes
8	10	43	10	2	1	1	No
9	55	60	80	0	1	0	Yes
10	30	60	80	0	1	0	Yes
11	20	65	6	0	1	0	No
12	50	35	9.5	4	2	3	No
13	30	25	11.5	0	3	0	No
14	15	10	100	0	1	0	Yes
15	30	5	4	0	1	0	No
16	10	20	95	0	1	0	Yes
17	5	30	10	2	1	1	No
18	20	40	6	0	2	0	No
19	15	60	8.5	0	1	0	No
20	45	65	4.5	0	1	0	No
21	45	20	5.5	0	1	0	No
22	45	10	90	0	1	0	Yes
23	55	5	14.5	4	1	1	No
24	65	35	150	0	1	0	Yes
25	65	20	3	0	1	0	No
26	45	30	8.5	3	1	1	No
27	35	40	8	2	3	3	No
28	41	37	80	0	3	0	Yes
29	64	42	4.5	0	1	0	No
30	40	60	10.5	0	1	0	No
