CUST NO.	XCOORD.	YCOORD.	DEMAND	SURVEILLANCE TIME	Delivery_priority	Surveillance_priority	Truck-reachable Node
0	40	50	0	0	0	0	Yes
1	25	85	10	8	1	3	No
2	22	75	150	0	1	0	Yes
3	22	85	5	0	2	0	No
4	20	80	200	0	1	0	Yes
5	20	85	10	0	1	0	Yes
6	18	75	100	0	3	0	Yes
7	15	75	100	0	2	0	Yes
8	15	80	5	6	1	2	No
9	10	35	100	0	5	0	Yes
10	10	40	150	0	3	0	Yes
11	8	40	20	0	4	0	No
12	8	45	10	5	1	2	No
13	5	35	50	0	1	0	Yes
14	5	45	5	3	1	5	No
15	2	40	100	0	1	0	Yes
16	0	40	100	0	1	0	Yes
17	0	45	10	0	1	0	Yes
18	44	5	10	5	1	3	No
19	42	10	200	0	1	0	Yes
20	42	15	50	0	1	0	Yes
21	40	5	50	0	1	0	Yes
22	40	15	20	0	1	0	Yes
23	38	5	15	4	1	3	No
24	38	15	5	10	1	1	No
25	35	5	100	0	1	0	Yes
26	95	30	15	0	1	0	No
27	95	35	100	0	1	0	Yes
28	92	30	5	5	1	2	No
29	90	35	50	0	1	0	Yes
30	88	30	50	0	1	0	Yes
